 44,  70,  56,  75, -10,  -7, -14,   0, 
 45,  75,  55,  75, -11, -13, -12,   1, 
 47,  79,  55,  76, -11, -20, -12,   2, 
 48,  81,  55,  76, -11, -26, -12,   3, 
 49,  82,  55,  76, -12, -32, -12,   4, 
 51,  81,  56,  76, -12, -36, -12,   5, 
 52,  78,  56,  76, -12, -39, -12,   5, 
 54,  73,  57,  77, -12, -41, -12,   6, 
 55,  66,  58,  77, -12, -40, -12,   7, 
 57,  59,  58,  77, -12, -37, -12,   7, 
 58,  52,  59,  77, -12, -33, -12,   8, 
 59,  46,  60,  77, -12, -28, -11,   8, 
 60,  41,  61,  77, -11, -22, -11,   8, 
 62,  37,  62,  77, -11, -15, -11,   9, 
 63,  34,  63,  77, -11,  -8, -11,   9, 
 64,  33,  64,  82, -10,  -7, -10,   2, 
 65,  33,  65,  88, -10,  -7, -10,  -5, 
 65,  34,  66,  92, -10,  -7, -10, -12, 
 66,  34,  67,  95,  -9,  -7,  -9, -19, 
 67,  35,  68,  97,  -9,  -7,  -8, -25, 
 68,  35,  69,  97,  -9,  -8,  -8, -30, 
 68,  36,  70,  95,  -8,  -8,  -7, -34, 
 69,  37,  70,  91,  -8,  -8,  -6, -36, 
 69,  38,  71,  85,  -8,  -9,  -6, -36, 
 69,  39,  72,  78,  -7,  -9,  -5, -34, 
 70,  40,  73,  72,  -7,  -9,  -4, -31, 
 70,  41,  73,  66,  -7, -10,  -3, -26, 
 70,  42,  74,  60,  -7, -10,  -2, -20, 
 70,  44,  74,  56,  -7, -10,  -1, -14, 
 70,  45,  75,  55,  -7, -11,   0, -12, 
 75,  47,  75,  55, -13, -11,   1, -12, 
 79,  48,  76,  55, -20, -11,   2, -12, 
 81,  49,  76,  55, -26, -12,   3, -12, 
 82,  51,  76,  56, -32, -12,   4, -12, 
 81,  52,  76,  56, -36, -12,   5, -12, 
 78,  54,  76,  57, -39, -12,   5, -12, 
 73,  55,  77,  58, -41, -12,   6, -12, 
 66,  57,  77,  58, -40, -12,   7, -12, 
 59,  58,  77,  59, -37, -12,   7, -12, 
 52,  59,  77,  60, -33, -12,   8, -11, 
 46,  60,  77,  61, -28, -11,   8, -11, 
 41,  62,  77,  62, -22, -11,   8, -11, 
 37,  63,  77,  63, -15, -11,   9, -11, 
 34,  64,  77,  64,  -8, -10,   9, -10, 
 33,  65,  82,  65,  -7, -10,   2, -10, 
 33,  65,  88,  66,  -7, -10,  -5, -10, 
 34,  66,  92,  67,  -7,  -9, -12,  -9, 
 34,  67,  95,  68,  -7,  -9, -19,  -8, 
 35,  68,  97,  69,  -7,  -9, -25,  -8, 
 35,  68,  97,  70,  -8,  -8, -30,  -7, 
 36,  69,  95,  70,  -8,  -8, -34,  -6, 
 37,  69,  91,  71,  -8,  -8, -36,  -6, 
 38,  69,  85,  72,  -9,  -7, -36,  -5, 
 39,  70,  78,  73,  -9,  -7, -34,  -4, 
 40,  70,  72,  73,  -9,  -7, -31,  -3, 
 41,  70,  66,  74, -10,  -7, -26,  -2, 
 42,  70,  60,  74, -10,  -7, -20,  -1, 
